[INFO ] [2022-06-15 17:17:32,365] Register - Step 01: Navigate to 'Register' link
[INFO ] [2022-06-15 17:26:19,345] Register - Step 04: Enter to emailAdress textbox with value is afc5446@mail.vn'
[INFO ] [2022-06-15 17:26:19,434] Register - Step 05: Enter to password textbox with value is 123456'
[INFO ] [2022-06-15 17:26:19,505] Register - Step 06: Enter to ConfirmPasswod textbox with value is 123456'
[INFO ] [2022-06-15 17:26:19,571] Register - Step 07: Click to 'Register' button
[INFO ] [2022-06-15 17:26:20,476] Register - Step 08: Verify register success message is displayed
[INFO ] [2022-06-15 17:26:20,532] Register - Step 09: Click to Logout link
[INFO ] [2022-06-15 17:26:21,316] Login - Step 01: Navigate to Login page
[INFO ] [2022-06-15 17:26:21,884] Login - Step 02: Enter to EmailAdress textbox with value is afc5446@mail.vn'
[INFO ] [2022-06-15 17:26:21,950] Login - Step 03: Enter to Password textbox with value is 123456'
[INFO ] [2022-06-15 17:26:22,005] Login - Step 04: Click to 'Login' button
[INFO ] [2022-06-15 17:26:22,805] Login - Step 05: Verify 'MyAccount' link is displayed 
[INFO ] [2022-06-15 17:26:22,865] Login - Step 06: Navigate to Customer infor page
[INFO ] [2022-06-15 17:26:23,409] Login - Step 07: Verify 'Customer infor' page is displayed 
[2022-06-15 17:33:07,782] Register - Step 01: Navigate to 'Register' link
[2022-06-15 17:33:08,527] Register - Step 02: Enter to FirstName textbox with value is Automation'
[2022-06-15 17:33:08,638] Register - Step 03: Enter to FirstName textbox with value is FC'
[2022-06-15 17:33:08,861] Register - Step 04: Enter to emailAdress textbox with value is afc3025@mail.vn'
[2022-06-15 17:33:08,974] Register - Step 05: Enter to password textbox with value is 123456'
[2022-06-15 17:33:09,048] Register - Step 06: Enter to ConfirmPasswod textbox with value is 123456'
[2022-06-15 17:33:09,138] Register - Step 07: Click to 'Register' button
[2022-06-15 17:33:09,996] Register - Step 08: Verify register success message is displayed
[2022-06-15 17:33:10,050]  -------------------------- FAILED -------------------------- 
[2022-06-15 17:33:10,051] Register - Step 09: Click to Logout link
[2022-06-15 17:33:10,882] Login - Step 01: Navigate to Login page
[2022-06-15 17:33:11,476] Login - Step 02: Enter to EmailAdress textbox with value is afc3025@mail.vn'
[2022-06-15 17:33:11,543] Login - Step 03: Enter to Password textbox with value is 123456'
[2022-06-15 17:33:11,600] Login - Step 04: Click to 'Login' button
[2022-06-15 17:33:12,605] Login - Step 05: Verify 'MyAccount' link is displayed 
[2022-06-15 17:33:12,699]  -------------------------- FAILED -------------------------- 
[2022-06-15 17:33:12,699] Login - Step 06: Navigate to Customer infor page
[2022-06-15 17:33:13,253] Login - Step 07: Verify 'Customer infor' page is displayed 
[2022-06-15 17:33:13,322]  -------------------------- FAILED -------------------------- 
[2022-06-15 17:36:11,353] Register - Step 01: Navigate to 'Register' link
[2022-06-15 17:36:11,959] Register - Step 02: Enter to FirstName textbox with value is Automation'
[2022-06-15 17:36:12,044] Register - Step 03: Enter to FirstName textbox with value is FC'
[2022-06-15 17:36:12,144] Register - Step 04: Enter to emailAdress textbox with value is afc9138@mail.vn'
[2022-06-15 17:36:12,235] Register - Step 05: Enter to password textbox with value is 123456'
[2022-06-15 17:36:12,313] Register - Step 06: Enter to ConfirmPasswod textbox with value is 123456'
[2022-06-15 17:36:12,412] Register - Step 07: Click to 'Register' button
[2022-06-15 17:36:13,375] Register - Step 08: Verify register success message is displayed
[2022-06-15 17:36:13,425]  -------------------------- FAILED -------------------------- 
[2022-06-15 17:36:13,425] Register - Step 09: Click to Logout link
[2022-06-15 17:36:14,175] Login - Step 01: Navigate to Login page
[2022-06-15 17:36:14,745] Login - Step 02: Enter to EmailAdress textbox with value is afc9138@mail.vn'
[2022-06-15 17:36:14,811] Login - Step 03: Enter to Password textbox with value is 123456'
[2022-06-15 17:36:14,866] Login - Step 04: Click to 'Login' button
[2022-06-15 17:36:15,623] Login - Step 05: Verify 'MyAccount' link is displayed 
[2022-06-15 17:36:15,674]  -------------------------- FAILED -------------------------- 
[2022-06-15 17:36:15,674] Login - Step 06: Navigate to Customer infor page
[2022-06-15 17:36:16,190] Login - Step 07: Verify 'Customer infor' page is displayed 
[2022-06-15 17:36:16,242]  -------------------------- FAILED -------------------------- 
[2022-06-16 10:57:33,884] Register - Step 01: Navigate to 'Register' link
[2022-06-16 10:57:35,779] Register - Step 02: Enter to FirstName textbox with value is Automation'
[2022-06-16 10:57:35,983] Register - Step 03: Enter to FirstName textbox with value is FC'
[2022-06-16 10:57:36,050] Register - Step 04: Enter to emailAdress textbox with value is afc6391@mail.vn'
[2022-06-16 10:57:36,200] Register - Step 05: Enter to password textbox with value is 123456'
[2022-06-16 10:57:36,267] Register - Step 06: Enter to ConfirmPasswod textbox with value is 123456'
[2022-06-16 10:57:36,323] Register - Step 07: Click to 'Register' button
[2022-06-16 10:57:37,430] Register - Step 08: Verify register success message is displayed
[2022-06-16 10:57:37,479]  -------------------------- FAILED -------------------------- 
[2022-06-16 10:57:37,480] Register - Step 09: Click to Logout link
[2022-06-16 10:57:38,326] Login - Step 01: Navigate to Login page
[2022-06-16 10:57:38,928] Login - Step 02: Enter to EmailAdress textbox with value is afc6391@mail.vn'
[2022-06-16 10:57:38,987] Login - Step 03: Enter to Password textbox with value is 123456'
[2022-06-16 10:57:39,039] Login - Step 04: Click to 'Login' button
[2022-06-16 10:57:39,847] Login - Step 05: Verify 'MyAccount' link is displayed 
[2022-06-16 10:57:39,927]  -------------------------- FAILED -------------------------- 
[2022-06-16 10:57:39,927] Login - Step 06: Navigate to Customer infor page
[2022-06-16 10:57:40,679] Login - Step 07: Verify 'Customer infor' page is displayed 
[2022-06-16 10:57:40,747]  -------------------------- FAILED -------------------------- 
[2022-06-17 15:49:29,389] Register - Step 01: Navigate to 'Register' link
[2022-06-17 15:49:30,780] Register - Step 02: Enter to FirstName textbox with value is Automation'
[2022-06-17 15:49:31,107] Register - Step 03: Enter to FirstName textbox with value is FC'
[2022-06-17 15:49:31,169] Register - Step 04: Enter to emailAdress textbox with value is afc7640@mail.vn'
[2022-06-17 15:49:31,268] Register - Step 05: Enter to password textbox with value is 123456'
[2022-06-17 15:49:31,351] Register - Step 06: Enter to ConfirmPasswod textbox with value is 123456'
[2022-06-17 15:49:31,452] Register - Step 07: Click to 'Register' button
[2022-06-17 15:49:32,397] Register - Step 08: Verify register success message is displayed
[2022-06-17 15:49:32,475]  -------------------------- FAILED -------------------------- 
[2022-06-17 15:49:32,476] Register - Step 09: Click to Logout link
[2022-06-17 15:49:33,417] Login - Step 01: Navigate to Login page
[2022-06-17 15:49:33,961] Login - Step 02: Enter to EmailAdress textbox with value is afc7640@mail.vn'
[2022-06-17 15:49:34,015] Login - Step 03: Enter to Password textbox with value is 123456'
[2022-06-17 15:49:34,063] Login - Step 04: Click to 'Login' button
[2022-06-17 15:49:34,886] Login - Step 05: Verify 'MyAccount' link is displayed 
[2022-06-17 15:49:34,949]  -------------------------- FAILED -------------------------- 
[2022-06-17 15:49:34,949] Login - Step 06: Navigate to Customer infor page
[2022-06-17 15:49:35,495] Login - Step 07: Verify 'Customer infor' page is displayed 
[2022-06-17 15:49:35,547]  -------------------------- FAILED -------------------------- 
[2022-06-17 16:33:35,529] Register - Step 01: Navigate to 'Register' link
[2022-06-17 16:33:37,493] Register - Step 02: Enter to FirstName textbox with value is Automation'
[2022-06-17 16:33:37,829] Register - Step 03: Enter to FirstName textbox with value is FC'
[2022-06-17 16:33:37,899] Register - Step 04: Enter to emailAdress textbox with value is afc2038@mail.vn'
[2022-06-17 16:33:37,969] Register - Step 05: Enter to password textbox with value is 123456'
[2022-06-17 16:33:38,044] Register - Step 06: Enter to ConfirmPasswod textbox with value is 123456'
[2022-06-17 16:33:38,103] Register - Step 07: Click to 'Register' button
[2022-06-17 16:33:39,024] Register - Step 08: Verify register success message is displayed
[2022-06-17 16:33:39,076]  -------------------------- FAILED -------------------------- 
[2022-06-17 16:33:39,077] Register - Step 09: Click to Logout link
[2022-06-17 16:33:39,993] Login - Step 01: Navigate to Login page
[2022-06-17 16:33:40,500] Login - Step 02: Enter to EmailAdress textbox with value is afc2038@mail.vn'
[2022-06-17 16:33:40,566] Login - Step 03: Enter to Password textbox with value is 123456'
[2022-06-17 16:33:40,619] Login - Step 04: Click to 'Login' button
[2022-06-17 16:33:41,403] Login - Step 05: Verify 'MyAccount' link is displayed 
[2022-06-17 16:33:41,467]  -------------------------- FAILED -------------------------- 
[2022-06-17 16:33:41,467] Login - Step 06: Navigate to Customer infor page
[2022-06-17 16:33:41,961] Login - Step 07: Verify 'Customer infor' page is displayed 
[2022-06-17 16:33:42,030]  -------------------------- FAILED -------------------------- 
[2022-06-17 16:42:03,644] Register - Step 01: Navigate to 'Register' link
[2022-06-17 16:42:08,717] Register - Step 02: Enter to FirstName textbox with value is Automation'
[2022-06-17 16:42:10,274] Register - Step 03: Enter to FirstName textbox with value is FC'
[2022-06-17 16:42:10,382] Register - Step 04: Enter to emailAdress textbox with value is afc6457@mail.vn'
[2022-06-17 16:42:10,486] Register - Step 05: Enter to password textbox with value is 123456'
[2022-06-17 16:42:10,743] Register - Step 06: Enter to ConfirmPasswod textbox with value is 123456'
[2022-06-17 16:42:10,900] Register - Step 07: Click to 'Register' button
[2022-06-17 16:42:13,321] Register - Step 08: Verify register success message is displayed
[2022-06-17 16:42:13,578]  -------------------------- FAILED -------------------------- 
[2022-06-17 16:42:13,623] Register - Step 09: Click to Logout link
[2022-06-17 16:42:16,148] Login - Step 01: Navigate to Login page
[2022-06-17 16:42:16,724] Login - Step 02: Enter to EmailAdress textbox with value is afc6457@mail.vn'
[2022-06-17 16:42:16,782] Login - Step 03: Enter to Password textbox with value is 123456'
[2022-06-17 16:42:16,845] Login - Step 04: Click to 'Login' button
[2022-06-17 16:42:17,587] Login - Step 05: Verify 'MyAccount' link is displayed 
[2022-06-17 16:42:17,649]  -------------------------- FAILED -------------------------- 
[2022-06-17 16:42:17,649] Login - Step 06: Navigate to Customer infor page
[2022-06-17 16:42:18,208] Login - Step 07: Verify 'Customer infor' page is displayed 
[2022-06-17 16:42:18,277]  -------------------------- FAILED -------------------------- 
[2022-06-21 15:30:34,319] Register - Step 01: Navigate to 'Register' link
[2022-06-21 15:30:35,931] Register - Step 02: Enter to FirstName textbox with value is Automation'
[2022-06-21 15:30:36,335] Register - Step 03: Enter to FirstName textbox with value is FC'
[2022-06-21 15:30:36,395] Register - Step 04: Enter to emailAdress textbox with value is afc7759@mail.vn'
[2022-06-21 15:30:36,467] Register - Step 05: Enter to password textbox with value is 123456'
[2022-06-21 15:30:36,539] Register - Step 06: Enter to ConfirmPasswod textbox with value is 123456'
[2022-06-21 15:30:36,608] Register - Step 07: Click to 'Register' button
[2022-06-21 15:30:37,596] Register - Step 08: Verify register success message is displayed
[2022-06-21 15:30:37,788] Login - Step 01: Click to Logout link
[2022-06-21 15:30:38,491] Login - Step 01: Navigate to Login page
[2022-06-21 15:30:38,985] Login - Step 02: Enter to EmailAdress textbox with value is afc7759@mail.vn'
[2022-06-21 15:30:39,052] Login - Step 03: Enter to Password textbox with value is 123456'
[2022-06-21 15:30:39,109] Login - Step 04: Click to 'Login' button
[2022-06-21 15:30:39,836] Login - Step 05: Verify 'MyAccount' link is displayed 
[2022-06-21 22:04:45,272] Register - Step 01: Navigate to 'Register' link
[2022-06-21 22:04:46,138] Register - Step 02: Enter to FirstName textbox with value is Automation'
[2022-06-21 22:04:46,421] Register - Step 03: Enter to FirstName textbox with value is FC'
[2022-06-21 22:04:46,521] Register - Step 04: Enter to emailAdress textbox with value is afc3739@mail.vn'
[2022-06-21 22:04:46,630] Register - Step 05: Enter to password textbox with value is 123456'
[2022-06-21 22:04:46,715] Register - Step 06: Enter to ConfirmPasswod textbox with value is 123456'
[2022-06-21 22:04:46,843] Register - Step 07: Click to 'Register' button
[2022-06-21 22:04:47,920] Register - Step 08: Verify register success message is displayed
[2022-06-21 22:15:23,564] Register - Step 01: Navigate to 'Register' link
[2022-06-21 22:15:24,416] Register - Step 02: Enter to FirstName textbox with value is Automation'
[2022-06-21 22:15:24,565] Register - Step 03: Enter to FirstName textbox with value is FC'
[2022-06-21 22:15:24,656] Register - Step 04: Enter to emailAdress textbox with value is afc3164@mail.vn'
[2022-06-21 22:15:24,759] Register - Step 05: Enter to password textbox with value is 123456'
[2022-06-21 22:15:24,834] Register - Step 06: Enter to ConfirmPasswod textbox with value is 123456'
[2022-06-21 22:15:24,911] Register - Step 07: Click to 'Register' button
[2022-06-21 22:15:26,131] Register - Step 08: Verify register success message is displayed
[2022-06-21 22:15:26,330] Login - Step 01: Click to Logout link
[2022-06-21 22:15:27,569] Login - Step 01: Navigate to Login page
[2022-06-21 22:15:28,404] Login - Step 02: Enter to EmailAdress textbox with value is afc3164@mail.vn'
[2022-06-21 22:15:28,527] Login - Step 03: Enter to Password textbox with value is 123456'
[2022-06-21 22:15:28,649] Login - Step 04: Click to 'Login' button
[2022-06-21 22:15:29,723] Login - Step 05: Verify 'MyAccount' link is displayed 
[2022-06-21 22:41:54,076] Register - Step 01: Navigate to 'Register' link
[2022-06-21 22:41:54,932] Register - Step 02: Enter to FirstName textbox with value is Automation'
[2022-06-21 22:41:55,194] Register - Step 03: Enter to FirstName textbox with value is FC'
[2022-06-21 22:41:55,399] Register - Step 04: Enter to emailAdress textbox with value is afc2934@mail.vn'
[2022-06-21 22:41:55,587] Register - Step 05: Enter to password textbox with value is 123456'
[2022-06-21 22:41:55,671] Register - Step 06: Enter to ConfirmPasswod textbox with value is 123456'
[2022-06-21 22:41:55,767] Register - Step 07: Click to 'Register' button
[2022-06-21 22:41:56,779] Register - Step 08: Verify register success message is displayed
[2022-06-21 22:41:56,982] Login - Step 01: Click to Logout link
[2022-06-21 22:41:57,842] Login - Step 01: Navigate to Login page
[2022-06-21 22:41:58,487] Login - Step 02: Enter to EmailAdress textbox with value is afc2934@mail.vn'
[2022-06-21 22:41:58,611] Login - Step 03: Enter to Password textbox with value is 123456'
[2022-06-21 22:41:58,693] Login - Step 04: Click to 'Login' button
[2022-06-21 22:41:59,657] Login - Step 05: Verify 'MyAccount' link is displayed 
[2022-06-27 15:28:39,687] Login - Step 01: Navigate to Login page
[2022-06-27 15:28:40,808] Login - Step 02: Enter to EmailAdress textbox with value is afc9435@mail.vn'
[2022-06-27 15:28:40,982] Login - Step 03: Enter to Password textbox with value is 123456'
[2022-06-27 15:28:41,036] Login - Step 04: Click to 'Login' button
[2022-06-27 15:28:41,891] Login - Step 05: Verify 'MyAccount' link is displayed 
[2022-06-27 15:28:41,959]  -------------------------- FAILED -------------------------- 
[2022-06-27 15:28:42,135] Login - Step 06: Navigate to Customer infor page
[2022-06-27 15:28:42,735] Login - Step 07: Verify 'Customer infor' page is displayed 
[2022-06-27 15:28:42,791]  -------------------------- FAILED -------------------------- 
[2022-06-28 10:21:01,630] Pre-Condition - Step 01: Navigate to Login page
[2022-06-28 10:21:02,293] Pre-Condition - Step 02: Set cookie and reload page
[2022-06-28 10:21:06,441] Pre-Condition - Step 03: Verify 'Customer infor' page is displayed 
[2022-06-28 10:31:27,804] Pre-Condition - Step 01: Navigate to Login page
[2022-06-28 10:31:28,420] Pre-Condition - Step 02: Set cookie and reload page
[2022-06-28 10:31:32,042] Pre-Condition - Step 03: Verify ' My Account' page is displayed 
[2022-06-28 10:31:32,097]  -------------------------- PASSED -------------------------- 
[2022-06-28 10:32:29,055] Pre-Condition - Step 01: Navigate to Login page
[2022-06-28 10:32:29,912] Pre-Condition - Step 02: Set cookie and reload page
[2022-06-28 10:32:34,097] Pre-Condition - Step 03: Verify ' My Account' page is displayed 
[2022-06-28 10:32:34,164]  -------------------------- PASSED -------------------------- 
[2022-06-28 14:46:01,411] Register - Step 01: Navigate to 'Register' link
[2022-06-28 14:46:03,348] Register - Step 02: Enter to FirstName textbox with value is Automation'
[2022-06-28 14:46:03,877] Register - Step 03: Enter to FirstName textbox with value is FC'
[2022-06-28 14:46:03,936] Register - Step 04: Enter to emailAdress textbox with value is afc2@mail.vn'
[2022-06-28 14:46:04,005] Register - Step 05: Enter to password textbox with value is 123456'
[2022-06-28 14:46:04,073] Register - Step 06: Enter to ConfirmPasswod textbox with value is 123456'
[2022-06-28 14:46:04,135] Register - Step 07: Click to 'Register' button
[2022-06-28 14:46:05,167] Register - Step 08: Verify register success message is displayed
[2022-06-28 14:46:05,219]  -------------------------- FAILED -------------------------- 
[2022-06-28 14:46:05,242] Register - Step 09: Click to Logout link
[2022-06-28 14:46:05,963] Login - Step 01: Navigate to Login page
[2022-06-28 14:46:06,470] Login - Step 02: Enter to EmailAdress textbox with value is afc2@mail.vn'
[2022-06-28 14:46:06,537] Login - Step 03: Enter to Password textbox with value is 123456'
[2022-06-28 14:46:06,595] Login - Step 04: Click to 'Login' button
[2022-06-28 14:46:07,288] Login - Step 05: Verify 'MyAccount' link is displayed 
[2022-06-28 14:46:07,352]  -------------------------- FAILED -------------------------- 
[2022-06-28 14:46:07,352] Login - Step 06: Navigate to Customer infor page
[2022-06-28 14:46:07,843] Login - Step 07: Verify 'Customer infor' page is displayed 
[2022-06-28 14:46:07,897]  -------------------------- FAILED -------------------------- 
[2022-06-28 14:47:57,355] Register - Step 01: Navigate to 'Register' link
[2022-06-28 14:47:57,956] Register - Step 02: Enter to FirstName textbox with value is Automation'
[2022-06-28 14:47:58,079] Register - Step 03: Enter to FirstName textbox with value is FC'
[2022-06-28 14:47:58,151] Register - Step 04: Enter to emailAdress textbox with value is afc6368@mail.vn'
[2022-06-28 14:47:58,262] Register - Step 05: Enter to password textbox with value is 123456'
[2022-06-28 14:47:58,343] Register - Step 06: Enter to ConfirmPasswod textbox with value is 123456'
[2022-06-28 14:47:58,481] Register - Step 07: Click to 'Register' button
[2022-06-28 14:47:59,479] Register - Step 08: Verify register success message is displayed
[2022-06-28 14:58:26,677] Register - Step 01: Navigate to 'Register' link
[2022-06-28 14:58:28,740] Register - Step 02: Enter to FirstName textbox with value is Automation'
[2022-06-28 14:58:29,140] Register - Step 03: Enter to FirstName textbox with value is FC'
[2022-06-28 14:58:29,193] Register - Step 04: Enter to emailAdress textbox with value is afc7148@mail.vn'
[2022-06-28 14:58:29,262] Register - Step 05: Enter to password textbox with value is 123456'
[2022-06-28 14:58:29,316] Register - Step 06: Enter to ConfirmPasswod textbox with value is 123456'
[2022-06-28 14:58:29,373] Register - Step 07: Click to 'Register' button
[2022-06-28 14:58:30,364] Register - Step 08: Verify register success message is displayed
[2022-06-28 16:13:38,736] Register - Step 01: Navigate to 'Register' link
[2022-06-28 16:13:40,931] Register - Step 02: Enter to FirstName textbox with value is Automation'
[2022-06-28 16:13:41,299] Register - Step 03: Enter to FirstName textbox with value is FC'
[2022-06-28 16:13:41,364] Register - Step 04: Enter to emailAdress textbox with value is afc8295@mail.vn'
[2022-06-28 16:13:41,432] Register - Step 05: Enter to password textbox with value is 123456'
[2022-06-28 16:13:41,490] Register - Step 06: Enter to ConfirmPasswod textbox with value is 123456'
[2022-06-28 16:13:41,613] Register - Step 07: Click to 'Register' button
[2022-06-28 16:13:42,500] Register - Step 08: Verify register success message is displayed
[2022-06-28 16:13:42,984] OS name = windows 10
[2022-06-28 16:13:42,985] Driver instance name = firefoxdriver: firefox on windows (efe65523-73f8-4018-b14e-8ae076a2fd9a)
[2022-06-29 14:58:24,370] Register - Step 01: Navigate to 'Register' link
[2022-06-29 14:58:25,791] Register - Step 02: Enter to FirstName textbox with value is Automation'
[2022-06-29 14:58:56,216] Login - Step 01: Navigate to Login page
[2022-06-29 14:58:56,719] Login - Step 02: Enter to EmailAdress textbox with value is null'
[2022-06-29 14:59:26,789] OS name = windows 10
[2022-06-29 14:59:26,790] Driver instance name = firefoxdriver: firefox on windows (abb46eec-7d2a-4480-b839-28c3ee48c68c)
[2022-06-29 15:02:56,825] Register - Step 01: Navigate to 'Register' link
[2022-06-29 15:02:57,534] Register - Step 02: Enter to FirstName textbox with value is Automation'
[2022-06-29 15:02:57,874] Register - Step 03: Enter to FirstName textbox with value is FC'
[2022-06-29 15:02:57,928] Register - Step 04: Enter to emailAdress textbox with value is null'
[2022-06-29 15:02:58,054] Login - Step 01: Navigate to Login page
[2022-06-29 15:02:58,527] Login - Step 02: Enter to EmailAdress textbox with value is null'
[2022-06-29 15:02:58,580] OS name = windows 10
[2022-06-29 15:02:58,581] Driver instance name = firefoxdriver: firefox on windows (27c7c33e-83cb-4c4d-9bfe-2b3543ed78d9)
[2022-06-29 15:04:29,284] Register - Step 01: Navigate to 'Register' link
[2022-06-29 15:04:29,997] Register - Step 02: Enter to FirstName textbox with value is Automation'
[2022-06-29 15:04:30,116] Register - Step 03: Enter to FirstName textbox with value is FC'
[2022-06-29 15:04:30,174] Register - Step 04: Enter to emailAdress textbox with value is afc5493@mail.vn'
[2022-06-29 15:04:30,253] Register - Step 05: Enter to password textbox with value is 123456'
[2022-06-29 15:04:30,320] Register - Step 06: Enter to ConfirmPasswod textbox with value is 123456'
[2022-06-29 15:04:30,386] Register - Step 07: Click to 'Register' button
[2022-06-29 15:04:31,490] Register - Step 08: Verify register success message is displayed
[2022-06-29 15:04:31,649] Login - Step 01: Navigate to Login page
[2022-06-29 15:05:01,686] OS name = windows 10
[2022-06-29 15:05:01,686] Driver instance name = firefoxdriver: firefox on windows (98b9f823-201a-4cca-9d8a-5f1361d6f4ce)
[2022-06-29 15:06:53,445] Register - Step 01: Navigate to 'Register' link
[2022-06-29 15:06:54,312] Register - Step 02: Enter to FirstName textbox with value is Automation'
[2022-06-29 15:06:54,403] Register - Step 03: Enter to FirstName textbox with value is FC'
[2022-06-29 15:06:54,456] Register - Step 04: Enter to emailAdress textbox with value is afc9433@mail.vn'
[2022-06-29 15:06:54,526] Register - Step 05: Enter to password textbox with value is 123456'
[2022-06-29 15:06:54,583] Register - Step 06: Enter to ConfirmPasswod textbox with value is 123456'
[2022-06-29 15:06:54,646] Register - Step 07: Click to 'Register' button
[2022-06-29 15:06:55,724] Register - Step 08: Verify register success message is displayed
[2022-06-29 15:06:55,768] Register - Step 09: Click to Logout link
[2022-06-29 15:06:56,598] Login - Step 01: Navigate to Login page
[2022-06-29 15:06:57,151] Login - Step 02: Enter to EmailAdress textbox with value is afc9433@mail.vn'
[2022-06-29 15:06:57,215] Login - Step 03: Enter to Password textbox with value is 123456'
[2022-06-29 15:06:57,270] Login - Step 04: Click to 'Login' button
[2022-06-29 15:06:58,002] Login - Step 05: Verify 'MyAccount' link is displayed 
[2022-06-29 15:06:58,076]  -------------------------- FAILED -------------------------- 
[2022-06-29 15:06:58,076] Login - Step 06: Navigate to Customer infor page
[2022-06-29 15:06:58,581] Login - Step 07: Verify 'Customer infor' page is displayed 
[2022-06-29 15:06:58,630]  -------------------------- PASSED -------------------------- 
[2022-06-29 15:06:58,637] OS name = windows 10
[2022-06-29 15:06:58,637] Driver instance name = firefoxdriver: firefox on windows (e8b70bba-006e-4b5a-bc29-73a09987a784)
[2022-06-29 15:55:43,064] Register - Step 01: Navigate to 'Register' link
[2022-06-29 15:55:44,591] Register - Step 01: Click to Checkbox Gender
[2022-06-29 15:55:44,861] Register - Step 02: Enter to FirstName textbox with value is Automation'
[2022-06-29 15:55:45,208] Register - Step 03: Enter to FirstName textbox with value is FC'
[2022-06-29 15:55:45,265] Step 04: Select Day of Birthday
[2022-06-29 15:55:45,586] Step 04: Select Month of Birthday
[2022-06-29 15:55:45,860] Step 04: Select year of Birthday
[2022-06-29 15:55:46,130] Register - Step 04: Enter to emailAdress textbox with value is afc9088@mail.vn'
[2022-06-29 15:55:46,185] Register - Step 01: Click to Radio 
[2022-06-29 15:55:46,222] Register - Step 05: Enter to password textbox with value is 123456'
[2022-06-29 15:55:46,274] Register - Step 06: Enter to ConfirmPasswod textbox with value is 123456'
[2022-06-29 15:55:46,328] Register - Step 07: Click to 'Register' button
[2022-06-29 15:55:47,183] Register - Step 08: Verify register success message is displayed
[2022-06-29 15:55:47,271] Register - Step 09: Click to Logout link
[2022-06-29 15:55:48,291] Login - Step 01: Navigate to Login page
[2022-06-29 15:55:48,823] Login - Step 02: Enter to EmailAdress textbox with value is afc9088@mail.vn'
[2022-06-29 15:55:48,892] Login - Step 03: Enter to Password textbox with value is 123456'
[2022-06-29 15:55:48,949] Login - Step 04: Click to 'Login' button
[2022-06-29 15:55:49,661] Login - Step 05: Verify 'MyAccount' link is displayed 
[2022-06-29 15:55:49,724]  -------------------------- PASSED -------------------------- 
[2022-06-29 15:55:49,725] Login - Step 06: Navigate to Customer infor page
